ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628442,117928,Succeeded,Succeeded - Completed successfully,84963,chi1-web298,2765,0.08,3,2/11/2021 2:17:09 AM,2/11/2021 2:18:49 AM,100.7106,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 84963); ,True  ,C:\Roblox\TemporaryFiles\ae933fbe-3b6b-44bb-bbf0-1ae312900be6.log,1,1,2/11/2021 2:13:32 AM,2/11/2021 2:18:51 AM,CHI1-DB33\RobloxServices
8628441,117928,Succeeded,Succeeded - Completed successfully,47860,chi1-web2516,2765,0.08,2,2/11/2021 2:15:27 AM,2/11/2021 2:16:57 AM,90.5229,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 47860); ,True  ,C:\Roblox\TemporaryFiles\374f4af9-2d71-47d2-932d-42ccf83a8ced.log,1,1,2/11/2021 2:13:32 AM,2/11/2021 2:16:59 AM,CHI1-DB33\RobloxServices
8628440,117928,Succeeded,Succeeded - Completed successfully,97159,chi1-web1994,2765,0.08,1,2/11/2021 2:13:49 AM,2/11/2021 2:15:20 AM,91.1526,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 97159); ,True  ,C:\Roblox\TemporaryFiles\89fe3057-ecd6-471c-9eaf-31d6fef377a1.log,1,1,2/11/2021 2:13:32 AM,2/11/2021 2:15:22 AM,CHI1-DB33\RobloxServices
