ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628484,117917,Aborted,Aborted - User Cancelled the job before it executed,116352,ash1-web2124,2462,0.08,3,,2/11/2021 2:14:48 AM,0,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 116352); ,,,1,0,2/11/2021 2:13:39 AM,2/11/2021 2:14:48 AM,CHI1-DB33\RobloxServices
8628483,117917,Failed,Failed - Completed with errors or unexpected results,114637,ash1-web1853,2462,0.08,2,2/11/2021 2:14:19 AM,2/11/2021 2:14:41 AM,20.9888,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 114637); ,False  ,C:\Roblox\TemporaryFiles\66f6ed26-24bb-47d0-a8f8-03fbb64a1786.log,1,1,2/11/2021 2:13:39 AM,2/11/2021 2:14:48 AM,CHI1-DB33\RobloxServices
8628482,117917,Failed,Failed - Completed with errors or unexpected results,113849,ash1-web1245,2462,0.08,1,2/11/2021 2:13:55 AM,2/11/2021 2:14:17 AM,20.8105,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 113849); ,False  ,C:\Roblox\TemporaryFiles\f8285617-aa9f-4365-90f8-a6d2744505a1.log,1,1,2/11/2021 2:13:39 AM,2/11/2021 2:14:48 AM,CHI1-DB33\RobloxServices
