ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628457,117925,Succeeded,Succeeded - Completed successfully,75799,chi1-web4364,2777,0.08,3,2/11/2021 2:17:10 AM,2/11/2021 2:17:30 AM,20.4866,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 75799); ,True  ,C:\Roblox\TemporaryFiles\2e8c8174-3287-4a2f-98d9-4108586287b6.log,1,1,2/11/2021 2:13:34 AM,2/11/2021 2:17:33 AM,CHI1-DB33\RobloxServices
8628456,117925,Succeeded,Succeeded - Completed successfully,48577,chi1-web3367,2777,0.08,2,2/11/2021 2:15:19 AM,2/11/2021 2:16:39 AM,80.4870,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 48577); ,True  ,C:\Roblox\TemporaryFiles\0b233d1f-a10c-4b8b-8425-33ffa1241a29.log,1,1,2/11/2021 2:13:34 AM,2/11/2021 2:16:41 AM,CHI1-DB33\RobloxServices
8628455,117925,Succeeded,Succeeded - Completed successfully,48677,chi1-web3036,2777,0.08,1,2/11/2021 2:13:46 AM,2/11/2021 2:15:06 AM,80.4310,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 48677); ,True  ,C:\Roblox\TemporaryFiles\3cafde7c-2442-42e0-b8c9-14731c7a45cf.log,1,1,2/11/2021 2:13:34 AM,2/11/2021 2:15:08 AM,CHI1-DB33\RobloxServices
