ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628499,117921,Succeeded,Succeeded - Completed successfully,122271,chi1-web6843,2820,0.08,3,2/11/2021 2:17:16 AM,2/11/2021 2:18:37 AM,81.1335,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 122271); ,True  ,C:\Roblox\TemporaryFiles\45c9033c-848e-49fc-a356-8c61499d0a4c.log,1,1,2/11/2021 2:13:42 AM,2/11/2021 2:18:38 AM,CHI1-DB33\RobloxServices
8628498,117921,Succeeded,Succeeded - Completed successfully,122229,chi1-web6766,2820,0.08,2,2/11/2021 2:15:20 AM,2/11/2021 2:16:40 AM,80.3540,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 122229); ,True  ,C:\Roblox\TemporaryFiles\b7f2a9a9-ff7a-4931-b296-523106d46107.log,1,1,2/11/2021 2:13:41 AM,2/11/2021 2:16:41 AM,CHI1-DB33\RobloxServices
8628497,117921,Succeeded,Succeeded - Completed successfully,99871,chi1-web3455,2820,0.08,1,2/11/2021 2:13:51 AM,2/11/2021 2:15:11 AM,80.3430,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 99871); ,True  ,C:\Roblox\TemporaryFiles\e9c5aa00-15d7-4788-b0ad-8e5a55e2f9de.log,1,1,2/11/2021 2:13:41 AM,2/11/2021 2:15:13 AM,CHI1-DB33\RobloxServices
