ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628493,117922,Succeeded,Succeeded - Completed successfully,100170,chi1-web3515,2362,0.08,3,2/11/2021 2:15:52 AM,2/11/2021 2:17:13 AM,81.0844,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 100170); ,True  ,C:\Roblox\TemporaryFiles\64679b19-ec76-4403-b630-736920f7ef69.log,1,1,2/11/2021 2:13:41 AM,2/11/2021 2:17:14 AM,CHI1-DB33\RobloxServices
8628492,117922,Succeeded,Succeeded - Completed successfully,99877,chi1-web3456,2362,0.08,2,2/11/2021 2:15:13 AM,2/11/2021 2:15:52 AM,40.7301,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 99877); ,True  ,C:\Roblox\TemporaryFiles\df2f11a2-5f0b-4556-8524-b8918042998b.log,1,1,2/11/2021 2:13:41 AM,2/11/2021 2:15:53 AM,CHI1-DB33\RobloxServices
8628491,117922,Succeeded,Succeeded - Completed successfully,99897,chi1-web3433,2362,0.08,1,2/11/2021 2:13:58 AM,2/11/2021 2:14:38 AM,40.8217,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 99897); ,True  ,C:\Roblox\TemporaryFiles\3b9fd43d-a55e-4b1c-938b-4a26d403ae87.log,1,1,2/11/2021 2:13:41 AM,2/11/2021 2:14:40 AM,CHI1-DB33\RobloxServices
