ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628490,117915,Failed,Failed - Completed with errors or unexpected results,113497,ash1-web979,2722,0.08,3,2/11/2021 2:15:41 AM,2/11/2021 2:16:02 AM,20.2126,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 113497); ,False  ,C:\Roblox\TemporaryFiles\ec7a7c85-ee99-441f-b65c-ddbd93710f47.log,1,1,2/11/2021 2:13:40 AM,2/11/2021 2:16:02 AM,RobloxDataAccess
8628489,117915,Failed,Failed - Completed with errors or unexpected results,112794,ash1-web528,2722,0.08,2,2/11/2021 2:15:11 AM,2/11/2021 2:15:32 AM,20.9644,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 112794); ,False  ,C:\Roblox\TemporaryFiles\50ff8ab2-b019-4096-8578-30311f5b8f07.log,1,1,2/11/2021 2:13:40 AM,2/11/2021 2:15:44 AM,CHI1-DB33\RobloxServices
8628488,117915,Failed,Failed - Completed with errors or unexpected results,113813,ash1-web1202,2722,0.08,1,2/11/2021 2:13:55 AM,2/11/2021 2:14:16 AM,20.6519,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 113813); ,False  ,C:\Roblox\TemporaryFiles\bdaa15af-18d5-437a-8aec-2d6b5053629b.log,1,1,2/11/2021 2:13:40 AM,2/11/2021 2:15:44 AM,CHI1-DB33\RobloxServices
