ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628478,117920,Succeeded,Succeeded - Completed successfully,89834,chi1-web746,2701,0.08,3,2/11/2021 2:16:06 AM,2/11/2021 2:17:56 AM,110.6553,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 89834); ,True  ,C:\Roblox\TemporaryFiles\8826cabc-958f-47ea-be20-0fbfb0f8df3c.log,1,1,2/11/2021 2:13:39 AM,2/11/2021 2:17:58 AM,CHI1-DB33\RobloxServices
8628477,117920,Succeeded,Succeeded - Completed successfully,98892,chi1-web3263,2701,0.08,2,2/11/2021 2:15:10 AM,2/11/2021 2:15:51 AM,41.0061,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 98892); ,True  ,C:\Roblox\TemporaryFiles\97a05850-3065-4c7d-b2b7-7e36288581da.log,1,1,2/11/2021 2:13:38 AM,2/11/2021 2:15:52 AM,CHI1-DB33\RobloxServices
8628476,117920,Succeeded,Succeeded - Completed successfully,23916,chi1-web2841,2701,0.08,1,2/11/2021 2:14:07 AM,2/11/2021 2:14:58 AM,50.3850,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 23916); ,True  ,C:\Roblox\TemporaryFiles\9a69970d-fb84-47c9-9669-7570acbedd87.log,1,1,2/11/2021 2:13:38 AM,2/11/2021 2:15:00 AM,CHI1-DB33\RobloxServices
