ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628448,117926,Succeeded,Succeeded - Completed successfully,132593,chi1-web7605,2781,0.08,3,2/11/2021 2:17:16 AM,2/11/2021 2:18:47 AM,91.0100,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 132593); ,True  ,C:\Roblox\TemporaryFiles\424022e0-7b80-41f5-9bd6-7fbd9bfe4e27.log,1,1,2/11/2021 2:13:33 AM,2/11/2021 2:18:48 AM,CHI1-DB33\RobloxServices
8628447,117926,Succeeded,Succeeded - Completed successfully,100136,chi1-web3652,2781,0.08,2,2/11/2021 2:15:22 AM,2/11/2021 2:16:42 AM,80.6962,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 100136); ,True  ,C:\Roblox\TemporaryFiles\56391015-9cc8-48e2-8a09-27dd00ee79bf.log,1,1,2/11/2021 2:13:33 AM,2/11/2021 2:16:44 AM,CHI1-DB33\RobloxServices
8628446,117926,Succeeded,Succeeded - Completed successfully,87741,chi1-web2922,2781,0.08,1,2/11/2021 2:13:49 AM,2/11/2021 2:15:19 AM,90.5788,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 87741); ,True  ,C:\Roblox\TemporaryFiles\5a71b356-a785-4f54-bb03-9a1770de34a7.log,1,1,2/11/2021 2:13:33 AM,2/11/2021 2:15:20 AM,CHI1-DB33\RobloxServices
