ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628475,117919,Succeeded,Succeeded - Completed successfully,75897,chi1-web4398,2784,0.08,3,2/11/2021 2:15:13 AM,2/11/2021 2:15:33 AM,20.2503,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 75897); ,True  ,C:\Roblox\TemporaryFiles\401183aa-bcb5-4da8-9ca3-91e3f7142304.log,1,1,2/11/2021 2:13:38 AM,2/11/2021 2:15:35 AM,CHI1-DB33\RobloxServices
8628474,117919,Succeeded,Succeeded - Completed successfully,84469,chi1-web190,2784,0.08,2,2/11/2021 2:14:09 AM,2/11/2021 2:14:29 AM,20.6365,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 84469); ,True  ,C:\Roblox\TemporaryFiles\d6d98e4b-1147-4bf1-a517-3dbe37d2d732.log,1,1,2/11/2021 2:13:38 AM,2/11/2021 2:14:31 AM,CHI1-DB33\RobloxServices
8628473,117919,Succeeded,Succeeded - Completed successfully,48546,chi1-web1776,2784,0.08,1,2/11/2021 2:13:43 AM,2/11/2021 2:14:03 AM,20.4104,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 48546); ,True  ,C:\Roblox\TemporaryFiles\0306f632-2b09-40b2-9376-a691d243c42b.log,1,1,2/11/2021 2:13:38 AM,2/11/2021 2:14:05 AM,CHI1-DB33\RobloxServices
