ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628451,117923,Succeeded,Succeeded - Completed successfully,90090,chi1-web817,2644,0.08,3,2/11/2021 2:16:05 AM,2/11/2021 2:17:36 AM,91.1064,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 90090); ,True  ,C:\Roblox\TemporaryFiles\3992c06d-ebdc-4001-889a-64d4a9f64c03.log,1,1,2/11/2021 2:13:34 AM,2/11/2021 2:17:36 AM,CHI1-DB33\RobloxServices
8628450,117923,Succeeded,Succeeded - Completed successfully,75915,chi1-web4334,2644,0.08,2,2/11/2021 2:15:13 AM,2/11/2021 2:15:52 AM,40.6437,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 75915); ,True  ,C:\Roblox\TemporaryFiles\fdc5651b-58f1-435b-b3fd-950e722dfd88.log,1,1,2/11/2021 2:13:34 AM,2/11/2021 2:15:55 AM,CHI1-DB33\RobloxServices
8628449,117923,Succeeded,Succeeded - Completed successfully,75941,chi1-web2904,2644,0.08,1,2/11/2021 2:13:50 AM,2/11/2021 2:14:30 AM,40.5092,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 75941); ,True  ,C:\Roblox\TemporaryFiles\914a86b5-f73c-48d9-8e81-6a87f8814b35.log,1,1,2/11/2021 2:13:33 AM,2/11/2021 2:14:32 AM,CHI1-DB33\RobloxServices
