ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628496,117912,Succeeded,Succeeded - Completed successfully,75806,chi1-web4397,2786,0.08,3,2/11/2021 2:16:08 AM,2/11/2021 2:16:58 AM,50.5434,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 75806); ,True  ,C:\Roblox\TemporaryFiles\576526ab-ec8f-433e-9254-08a7282e16be.log,1,1,2/11/2021 2:13:41 AM,2/11/2021 2:17:00 AM,CHI1-DB33\RobloxServices
8628495,117912,Succeeded,Succeeded - Completed successfully,45754,chi1-web2224,2786,0.08,2,2/11/2021 2:15:11 AM,2/11/2021 2:16:02 AM,51.0004,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 45754); ,True  ,C:\Roblox\TemporaryFiles\bdd6afbe-76e4-49a5-a00a-aaccd51ea87b.log,1,1,2/11/2021 2:13:41 AM,2/11/2021 2:16:04 AM,CHI1-DB33\RobloxServices
8628494,117912,Succeeded,Succeeded - Completed successfully,94544,chi1-web1192,2786,0.08,1,2/11/2021 2:13:58 AM,2/11/2021 2:14:29 AM,31.1185,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 94544); ,True  ,C:\Roblox\TemporaryFiles\642f7896-b9c2-45e1-b1b1-c26dc998b315.log,1,1,2/11/2021 2:13:41 AM,2/11/2021 2:14:31 AM,CHI1-DB33\RobloxServices
