ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628439,117927,Succeeded,Succeeded - Completed successfully,83674,chi1-web82,2870,0.08,3,2/11/2021 2:15:16 AM,2/11/2021 2:15:36 AM,20.2368,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 83674); ,True  ,C:\Roblox\TemporaryFiles\1cf5a7d7-a96e-466d-92fe-2fa68e9f0e76.log,1,1,2/11/2021 2:13:32 AM,2/11/2021 2:15:38 AM,CHI1-DB33\RobloxServices
8628438,117927,Succeeded,Succeeded - Completed successfully,23407,chi1-web4382,2870,0.08,2,2/11/2021 2:14:18 AM,2/11/2021 2:14:38 AM,20.7703,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 23407); ,True  ,C:\Roblox\TemporaryFiles\a494dd89-0431-4c64-bc31-6e623b21895b.log,1,1,2/11/2021 2:13:32 AM,2/11/2021 2:14:41 AM,CHI1-DB33\RobloxServices
8628437,117927,Succeeded,Succeeded - Completed successfully,48446,chi1-web1996,2870,0.08,1,2/11/2021 2:13:49 AM,2/11/2021 2:14:09 AM,20.4604,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 48446); ,True  ,C:\Roblox\TemporaryFiles\9ebdb059-6839-4e10-a54b-581dde66b31a.log,1,1,2/11/2021 2:13:32 AM,2/11/2021 2:14:12 AM,CHI1-DB33\RobloxServices
