ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628445,117929,Succeeded,Succeeded - Completed successfully,100063,chi1-web3477,2698,0.08,3,2/11/2021 2:17:19 AM,2/11/2021 2:18:59 AM,100.8343,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 100063); ,True  ,C:\Roblox\TemporaryFiles\3e98d4a9-0952-4ae3-bbea-c030c7592582.log,1,1,2/11/2021 2:13:33 AM,2/11/2021 2:19:00 AM,CHI1-DB33\RobloxServices
8628444,117929,Succeeded,Succeeded - Completed successfully,85040,chi1-web316,2698,0.08,2,2/11/2021 2:15:35 AM,2/11/2021 2:17:15 AM,100.3691,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 85040); ,True  ,C:\Roblox\TemporaryFiles\1a0ddf44-3ccc-49b2-aef2-e3c24fb6eb8b.log,1,1,2/11/2021 2:13:33 AM,2/11/2021 2:17:18 AM,CHI1-DB33\RobloxServices
8628443,117929,Succeeded,Succeeded - Completed successfully,47882,chi1-web2518,2698,0.08,1,2/11/2021 2:13:46 AM,2/11/2021 2:15:25 AM,100.5438,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 47882); ,True  ,C:\Roblox\TemporaryFiles\1aa60eb4-9314-49df-b08d-5f88d1b86d28.log,1,1,2/11/2021 2:13:33 AM,2/11/2021 2:15:27 AM,CHI1-DB33\RobloxServices
