ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628463,117932,Succeeded,Succeeded - Completed successfully,98867,chi1-web3206,2867,0.08,3,2/11/2021 2:16:09 AM,2/11/2021 2:16:39 AM,30.6473,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 98867); ,True  ,C:\Roblox\TemporaryFiles\a9f3f96d-2646-495c-a4c3-f46a675649b6.log,1,1,2/11/2021 2:13:35 AM,2/11/2021 2:16:40 AM,CHI1-DB33\RobloxServices
8628462,117932,Succeeded,Succeeded - Completed successfully,98834,chi1-web3166,2867,0.08,2,2/11/2021 2:15:09 AM,2/11/2021 2:15:40 AM,31.3028,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 98834); ,True  ,C:\Roblox\TemporaryFiles\ff2240bb-2495-402e-9a2a-a0eb4d222412.log,1,1,2/11/2021 2:13:35 AM,2/11/2021 2:15:41 AM,CHI1-DB33\RobloxServices
8628461,117932,Succeeded,Succeeded - Completed successfully,45747,chi1-web2229,2867,0.08,1,2/11/2021 2:13:46 AM,2/11/2021 2:14:15 AM,30.8965,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 45747); ,True  ,C:\Roblox\TemporaryFiles\a1dc3ade-2035-4c8e-92e7-9526ee6ca29d.log,1,1,2/11/2021 2:13:35 AM,2/11/2021 2:14:18 AM,CHI1-DB33\RobloxServices
