ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628466,117931,Succeeded,Succeeded - Completed successfully,89635,chi1-web727,2388,0.08,3,2/11/2021 2:18:07 AM,2/11/2021 2:19:37 AM,90.8821,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 89635); ,True  ,C:\Roblox\TemporaryFiles\9481d479-7211-4acb-912d-bc9b64fa5951.log,1,1,2/11/2021 2:13:36 AM,2/11/2021 2:19:38 AM,CHI1-DB33\RobloxServices
8628465,117931,Succeeded,Succeeded - Completed successfully,42911,chi1-web2952,2388,0.08,2,2/11/2021 2:15:30 AM,2/11/2021 2:17:00 AM,91.3133,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 42911); ,True  ,C:\Roblox\TemporaryFiles\1f9bf7b3-8b91-4a32-bb9d-01b3ddbcf0bf.log,1,1,2/11/2021 2:13:36 AM,2/11/2021 2:17:01 AM,CHI1-DB33\RobloxServices
8628464,117931,Succeeded,Succeeded - Completed successfully,25783,chi1-web2259,2388,0.08,1,2/11/2021 2:13:46 AM,2/11/2021 2:15:26 AM,101.1083,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 25783); ,True  ,C:\Roblox\TemporaryFiles\31bea041-4fb8-4438-9b6a-bde74069a32d.log,1,1,2/11/2021 2:13:36 AM,2/11/2021 2:15:28 AM,CHI1-DB33\RobloxServices
