ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628487,117916,Aborted,Aborted - User Cancelled the job before it executed,112757,ash1-web529,2687,0.08,3,,2/11/2021 2:15:44 AM,0,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 112757); ,,,1,0,2/11/2021 2:13:40 AM,2/11/2021 2:15:44 AM,CHI1-DB33\RobloxServices
8628486,117916,Failed,Failed - Completed with errors or unexpected results,114298,ash1-web1551,2687,0.08,2,2/11/2021 2:15:14 AM,2/11/2021 2:15:36 AM,20.7167,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 114298); ,False  ,C:\Roblox\TemporaryFiles\5fee5fe2-b367-411a-8da4-e83295bba2f8.log,1,1,2/11/2021 2:13:40 AM,2/11/2021 2:15:44 AM,CHI1-DB33\RobloxServices
8628485,117916,Failed,Failed - Completed with errors or unexpected results,113864,ash1-web1251,2687,0.08,1,2/11/2021 2:13:56 AM,2/11/2021 2:14:17 AM,20.5370,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 113864); ,False  ,C:\Roblox\TemporaryFiles\4111056f-8673-4fb0-a1d1-d5ecf9d697db.log,1,1,2/11/2021 2:13:40 AM,2/11/2021 2:15:44 AM,CHI1-DB33\RobloxServices
