ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628470,117930,Succeeded,Succeeded - Completed successfully,38454,chi1-web941,2776,0.08,3,2/11/2021 2:16:01 AM,2/11/2021 2:17:41 AM,100.3196,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 38454); ,True  ,C:\Roblox\TemporaryFiles\b789e6ec-f390-472b-9c94-67ce6f681256.log,1,1,2/11/2021 2:13:37 AM,2/11/2021 2:17:43 AM,CHI1-DB33\RobloxServices
8628469,117930,Succeeded,Succeeded - Completed successfully,19919,chi1-web4354,2776,0.08,2,2/11/2021 2:15:10 AM,2/11/2021 2:16:00 AM,50.8393,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 19919); ,True  ,C:\Roblox\TemporaryFiles\a369b124-17d9-4c1b-a52e-b0373afe83d0.log,1,1,2/11/2021 2:13:36 AM,2/11/2021 2:16:03 AM,CHI1-DB33\RobloxServices
8628468,117930,Succeeded,Succeeded - Completed successfully,25512,chi1-web2201,2776,0.08,1,2/11/2021 2:13:48 AM,2/11/2021 2:14:38 AM,50.6367,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 25512); ,True  ,C:\Roblox\TemporaryFiles\134adba0-7722-45ae-bb5f-dc52a44d70dc.log,1,1,2/11/2021 2:13:36 AM,2/11/2021 2:14:40 AM,CHI1-DB33\RobloxServices
