ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628460,117933,Succeeded,Succeeded - Completed successfully,77724,chi1-web2333,2745,0.08,3,2/11/2021 2:17:43 AM,2/11/2021 2:19:03 AM,80.9846,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 77724); ,True  ,C:\Roblox\TemporaryFiles\914ce01b-cf84-4729-b0c4-b331247b9abd.log,1,1,2/11/2021 2:13:35 AM,2/11/2021 2:19:06 AM,CHI1-DB33\RobloxServices
8628459,117933,Succeeded,Succeeded - Completed successfully,45728,chi1-web2255,2745,0.08,2,2/11/2021 2:16:07 AM,2/11/2021 2:17:38 AM,91.3185,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 45728); ,True  ,C:\Roblox\TemporaryFiles\a1718f0a-be75-4857-af88-1aa0155ae272.log,1,1,2/11/2021 2:13:35 AM,2/11/2021 2:17:40 AM,CHI1-DB33\RobloxServices
8628458,117933,Succeeded,Succeeded - Completed successfully,45744,chi1-web2228,2745,0.08,1,2/11/2021 2:14:08 AM,2/11/2021 2:15:38 AM,90.7752,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 45744); ,True  ,C:\Roblox\TemporaryFiles\cd0ead96-863c-4885-99a7-1dd102aeb12f.log,1,1,2/11/2021 2:13:35 AM,2/11/2021 2:15:40 AM,CHI1-DB33\RobloxServices
