ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628505,117913,Failed,Failed - Completed with errors or unexpected results,116376,ash1-web2153,2685,0.08,3,2/11/2021 2:15:38 AM,2/11/2021 2:15:59 AM,20.9885,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 116376); ,False  ,C:\Roblox\TemporaryFiles\4d836fcb-97c1-4622-9340-b5c9b5346adc.log,1,1,2/11/2021 2:13:42 AM,2/11/2021 2:15:59 AM,RobloxDataAccess
8628504,117913,Failed,Failed - Completed with errors or unexpected results,114101,ash1-web1411,2685,0.08,2,2/11/2021 2:15:10 AM,2/11/2021 2:15:32 AM,20.9884,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 114101); ,False  ,C:\Roblox\TemporaryFiles\70e20290-5a04-4178-9368-d80828b1741e.log,1,1,2/11/2021 2:13:42 AM,2/11/2021 2:15:44 AM,CHI1-DB33\RobloxServices
8628503,117913,Failed,Failed - Completed with errors or unexpected results,113703,ash1-web1138,2685,0.08,1,2/11/2021 2:13:58 AM,2/11/2021 2:14:19 AM,20.9438,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 113703); ,False  ,C:\Roblox\TemporaryFiles\d3758e0d-f114-42ba-b586-faa8058d59ab.log,1,1,2/11/2021 2:13:42 AM,2/11/2021 2:15:44 AM,CHI1-DB33\RobloxServices
