ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628481,117918,Succeeded,Succeeded - Completed successfully,91192,chi1-web886,2307,0.08,3,2/11/2021 2:16:07 AM,2/11/2021 2:17:27 AM,80.5418,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 91192); ,True  ,C:\Roblox\TemporaryFiles\0302083b-dc84-4816-941b-c430b2539084.log,1,1,2/11/2021 2:13:39 AM,2/11/2021 2:17:28 AM,CHI1-DB33\RobloxServices
8628480,117918,Succeeded,Succeeded - Completed successfully,89348,chi1-web575,2307,0.08,2,2/11/2021 2:15:08 AM,2/11/2021 2:15:39 AM,31.1794,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 89348); ,True  ,C:\Roblox\TemporaryFiles\4a49a8a5-6a7a-46a4-b750-0426396e6699.log,1,1,2/11/2021 2:13:39 AM,2/11/2021 2:15:40 AM,CHI1-DB33\RobloxServices
8628479,117918,Succeeded,Succeeded - Completed successfully,90067,chi1-web1228,2307,0.08,1,2/11/2021 2:13:57 AM,2/11/2021 2:14:37 AM,40.7011,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 90067); ,True  ,C:\Roblox\TemporaryFiles\67e2d9c0-49ab-46ff-a20c-30a48e4bf254.log,1,1,2/11/2021 2:13:39 AM,2/11/2021 2:14:38 AM,CHI1-DB33\RobloxServices
