ServerJobInstanceTaskID,ServerJobInstanceID,ServerJobStatus,ServerJobStatusVerbose,ExecutionServerID,ExecutionServerName,ExecutionGrouping,ExecutionParallelism,Ordinal,Started,Completed,RunTimeSeconds,MaxRunTimeMinutes,ScriptBlock,Result,LogFile,MaxAttempts,Attempts,Created,Updated,UpdatedBy
8628454,117924,Succeeded,Succeeded - Completed successfully,92271,chi1-web892,2836,0.08,3,2/11/2021 2:17:09 AM,2/11/2021 2:18:50 AM,101.3145,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 92271); ,True  ,C:\Roblox\TemporaryFiles\a3177435-eb9e-4746-b012-7a5973b4e924.log,1,1,2/11/2021 2:13:34 AM,2/11/2021 2:18:51 AM,CHI1-DB33\RobloxServices
8628453,117924,Succeeded,Succeeded - Completed successfully,99010,chi1-web6300,2836,0.08,2,2/11/2021 2:15:10 AM,2/11/2021 2:16:51 AM,101.2954,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 99010); ,True  ,C:\Roblox\TemporaryFiles\a66b38dc-0222-4d3d-a759-c552455d67d9.log,1,1,2/11/2021 2:13:34 AM,2/11/2021 2:16:52 AM,CHI1-DB33\RobloxServices
8628452,117924,Succeeded,Succeeded - Completed successfully,98918,chi1-web3246,2836,0.08,1,2/11/2021 2:13:50 AM,2/11/2021 2:15:01 AM,72.0648,5,OfflineIISResetUsingKeepAliveFiles $(GetIP 98918); ,True  ,C:\Roblox\TemporaryFiles\7b4de6ce-d635-43db-81d9-de474b84071a.log,1,1,2/11/2021 2:13:34 AM,2/11/2021 2:15:03 AM,CHI1-DB33\RobloxServices
